Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,-1.359807,-0.072781,2.536347,1.378155,-0.338321,0.462388,0.239599,0.098698,0.363787,0.090794,-0.5516,-0.6178,0.991348,-0.311169,1.468177,-0.4704,0.207971,0.025791,0.403993,0.251412,-0.018307,0.277838,-0.110474,0.066928,0.128539,-0.189115,0.133558,-0.021053,149.62,0
1,1.191857,0.266151,0.16648,0.448154,0.06,1.314022,0.69854,0.914953,0.965316,-1.351103,1.427008,-1.062026,0.27908,1.910306,-1.959166,-1.92445,1.093643,-2.059708,1.989972,-1.50846,-1.946753,-1.29908,-2.782509,0.88215,2.9161,2.7667,0.1362,-2.63384,2.31,0
2,-1.358354,-1.340163,1.773209,0.37978,-0.503198,1.800499,0.791461,-0.014712,-1.025377,0.031339,-0.120296,0.301599,0.535938,0.719901,0.139825,-0.141738,0.072506,0.059252,0.103913,0.044336,0.08328,-0.377671,0.29,0.46,0.99,0.11,-0.66,0.33,1.45,0
3,-2.312224,0.396545,0.160499,0.472351,0.123456,1.234567,0.567891,0.876543,0.765432,-1.234567,1.345678,-1.123456,0.345678,1.876543,-1.876543,-1.765432,1.087654,-2.123456,1.876543,-1.456789,-1.876543,-1.345678,-2.678901,0.789012,2.876543,2.678901,0.234567,-2.543210,3.21,0
4,1.965767,-1.234567,-0.345678,2.789012,2.876543,-0.234567,-2.876543,2.987654,3.765432,-4.012345,1.543210,-1.876543,-4.876543,5.987654,-8.123456,13.012345,6.876543,-9.654321,-9.432109,19.76,0.12,-0.23,-9.21,6.89,8.76,0.87,-5.98,24.33,65.55,0
5,-1.123456,-1.210987,1.654321,0.287654,-0.412345,1.712345,0.698765,-0.123456,-0.934567,0.145678,-0.234567,0.212345,0.456789,0.634567,0.245678,-0.256789,0.187654,0.165432,0.212345,0.156789,0.198765,-0.287654,0.31,0.56,0.89,0.23,-0.78,0.45,1.56,0
6,1.087654,0.176543,0.076543,0.356789,0.16,1.223456,0.598765,0.823456,0.876543,-1.245678,1.334567,-1.134567,0.187654,1.823456,-1.887654,-1.834567,1.023456,-2.187654,1.887654,-1.467890,-1.887654,-1.234567,-2.687654,0.798765,2.887654,2.687654,0.245678,-2.554321,2.45,0
7,-1.245678,-1.234567,1.665432,0.298765,-0.423456,1.723456,0.687654,-0.134567,-0.945678,0.156789,-0.245678,0.223456,0.467890,0.645678,0.256789,-0.267890,0.176543,0.176543,0.223456,0.167890,0.187654,-0.298765,0.42,0.67,0.98,0.34,-0.89,0.56,1.67,0
8,1.187654,0.276543,0.176543,0.456789,0.17,1.323456,0.698765,0.923456,0.976543,-1.345678,1.434567,-1.234567,0.287654,1.923456,-1.987654,-1.934567,1.123456,-2.287654,1.987654,-1.567890,-1.987654,-1.334567,-2.787654,0.898765,2.987654,2.787654,0.345678,-2.654321,2.55,0
9,-1.345678,-1.334567,1.765432,0.398765,-0.523456,1.823456,0.787654,-0.234567,-1.045678,0.256789,-0.345678,0.323456,0.567890,0.745678,0.356789,-0.367890,0.276543,0.276543,0.323456,0.267890,0.287654,-0.398765,0.53,0.78,1.09,0.45,-0.99,0.67,1.78,1
10,1.287654,0.376543,0.276543,0.556789,0.27,1.423456,0.798765,1.023456,1.076543,-1.445678,1.534567,-1.334567,0.387654,2.023456,-2.087654,-2.034567,1.223456,-2.387654,2.087654,-1.667890,-2.087654,-1.434567,-2.887654,0.998765,3.087654,2.887654,0.445678,-2.754321,2.65,1
11,-1.445678,-1.434567,1.865432,0.498765,-0.623456,1.923456,0.887654,-0.334567,-1.145678,0.356789,-0.445678,0.423456,0.667890,0.845678,0.456789,-0.467890,0.376543,0.376543,0.423456,0.367890,0.387654,-0.498765,0.64,0.89,1.20,0.56,-1.09,0.78,1.89,1
12,1.387654,0.476543,0.376543,0.656789,0.37,1.523456,0.898765,1.123456,1.176543,-1.545678,1.634567,-1.434567,0.487654,2.123456,-2.187654,-2.134567,1.323456,-2.487654,2.187654,-1.767890,-2.187654,-1.534567,-2.987654,1.098765,3.187654,2.987654,0.545678,-2.854321,2.75,1
